#TYPE Selected.System.Diagnostics.EventLogEntry
"TimeGenerated","EntryType","Source","Message"
"3/4/2021 8:38:23 AM","Information","MSSQL$SQLEXPRESS","Parallel redo is shutdown for database 'Test1' with worker pool size [2]."
"3/4/2021 8:38:23 AM","Information","MSSQL$SQLEXPRESS","Parallel redo is started for database 'Test1' with worker pool size [2]."
"3/4/2021 8:38:23 AM","Information","MSSQL$SQLEXPRESS","Starting up database 'Test1'."
"3/4/2021 8:38:23 AM","Information","MSSQL$SQLEXPRESS","Parallel redo is shutdown for database 'SchoolDB' with worker pool size [2]."
"3/4/2021 8:38:23 AM","Information","MSSQL$SQLEXPRESS","Parallel redo is started for database 'SchoolDB' with worker pool size [2]."
"3/4/2021 8:38:23 AM","Information","MSSQL$SQLEXPRESS","Starting up database 'SchoolDB'."
"3/4/2021 8:38:23 AM","Information","MSSQL$SQLEXPRESS","Parallel redo is shutdown for database 'NorthWindAzure2' with worker pool size [2]."
"3/4/2021 8:38:23 AM","Information","MSSQL$SQLEXPRESS","Parallel redo is started for database 'NorthWindAzure2' with worker pool size [2]."
"3/4/2021 8:38:23 AM","Information","MSSQL$SQLEXPRESS","Starting up database 'NorthWindAzure2'."
"3/4/2021 8:38:23 AM","Information","MSSQL$SQLEXPRESS","Parallel redo is shutdown for database 'Test1' with worker pool size [2]."
"3/4/2021 8:38:23 AM","Information","MSSQL$SQLEXPRESS","Parallel redo is started for database 'Test1' with worker pool size [2]."
"3/4/2021 8:38:23 AM","Information","MSSQL$SQLEXPRESS","Starting up database 'Test1'."
"3/4/2021 8:38:23 AM","Information","MSSQL$SQLEXPRESS","Parallel redo is shutdown for database 'SchoolDB' with worker pool size [2]."
"3/4/2021 8:38:23 AM","Information","MSSQL$SQLEXPRESS","Parallel redo is started for database 'SchoolDB' with worker pool size [2]."
"3/4/2021 8:38:23 AM","Information","MSSQL$SQLEXPRESS","Starting up database 'SchoolDB'."
"3/4/2021 8:38:23 AM","Information","MSSQL$SQLEXPRESS","Parallel redo is shutdown for database 'NorthWindAzure2' with worker pool size [2]."
"3/4/2021 8:38:23 AM","Information","MSSQL$SQLEXPRESS","Parallel redo is started for database 'NorthWindAzure2' with worker pool size [2]."
"3/4/2021 8:38:23 AM","Information","MSSQL$SQLEXPRESS","Starting up database 'NorthWindAzure2'."
"3/4/2021 8:33:18 AM","Information","MSSQL$SQLEXPRESS","Parallel redo is shutdown for database 'Test1' with worker pool size [2]."
"3/4/2021 8:33:18 AM","Information","MSSQL$SQLEXPRESS","Parallel redo is started for database 'Test1' with worker pool size [2]."
"3/4/2021 8:33:18 AM","Information","MSSQL$SQLEXPRESS","Starting up database 'Test1'."
"3/4/2021 8:33:18 AM","Information","MSSQL$SQLEXPRESS","Parallel redo is shutdown for database 'SchoolDB' with worker pool size [2]."
"3/4/2021 8:33:18 AM","Information","MSSQL$SQLEXPRESS","Parallel redo is started for database 'SchoolDB' with worker pool size [2]."
"3/4/2021 8:33:18 AM","Information","MSSQL$SQLEXPRESS","Starting up database 'SchoolDB'."
"3/4/2021 8:33:18 AM","Information","MSSQL$SQLEXPRESS","Parallel redo is shutdown for database 'NorthWindAzure2' with worker pool size [2]."
"3/4/2021 8:33:18 AM","Information","MSSQL$SQLEXPRESS","Parallel redo is started for database 'NorthWindAzure2' with worker pool size [2]."
"3/4/2021 8:33:18 AM","Information","MSSQL$SQLEXPRESS","Starting up database 'NorthWindAzure2'."
"3/4/2021 8:33:18 AM","Information","MSSQL$SQLEXPRESS","Parallel redo is shutdown for database 'Test1' with worker pool size [2]."
"3/4/2021 8:33:18 AM","Information","MSSQL$SQLEXPRESS","Parallel redo is started for database 'Test1' with worker pool size [2]."
"3/4/2021 8:33:18 AM","Information","MSSQL$SQLEXPRESS","Starting up database 'Test1'."
"3/4/2021 8:33:17 AM","Information","MSSQL$SQLEXPRESS","Parallel redo is shutdown for database 'SchoolDB' with worker pool size [2]."
"3/4/2021 8:33:17 AM","Information","MSSQL$SQLEXPRESS","Parallel redo is started for database 'SchoolDB' with worker pool size [2]."
"3/4/2021 8:33:17 AM","Information","MSSQL$SQLEXPRESS","Starting up database 'SchoolDB'."
"3/4/2021 8:33:17 AM","Information","MSSQL$SQLEXPRESS","Parallel redo is shutdown for database 'NorthWindAzure2' with worker pool size [2]."
"3/4/2021 8:33:17 AM","Information","MSSQL$SQLEXPRESS","Parallel redo is started for database 'NorthWindAzure2' with worker pool size [2]."
"3/4/2021 8:33:17 AM","Information","MSSQL$SQLEXPRESS","Starting up database 'NorthWindAzure2'."
"3/4/2021 8:28:12 AM","Information","MSSQL$SQLEXPRESS","Parallel redo is shutdown for database 'Test1' with worker pool size [2]."
"3/4/2021 8:28:12 AM","Information","MSSQL$SQLEXPRESS","Parallel redo is started for database 'Test1' with worker pool size [2]."
"3/4/2021 8:28:12 AM","Information","MSSQL$SQLEXPRESS","Starting up database 'Test1'."
"3/4/2021 8:28:12 AM","Information","MSSQL$SQLEXPRESS","Parallel redo is shutdown for database 'SchoolDB' with worker pool size [2]."
"3/4/2021 8:28:12 AM","Information","MSSQL$SQLEXPRESS","Parallel redo is started for database 'SchoolDB' with worker pool size [2]."
"3/4/2021 8:28:12 AM","Information","MSSQL$SQLEXPRESS","Starting up database 'SchoolDB'."
